name,surname,birth_date
Joete,Coppo,3/24/1980
Ola,De La Salle,2/11/1999
Duffy,O'Fielly,1/22/1992
Dixie,Hallum,10/15/2004
Dulcia,Hane,8/13/2003
Willdon,MacManus,3/2/2001
Perkin,Vescovini,11/20/2002
Griffie,Clayborn,7/2/1970
Elvyn,Pead,9/22/1950
Waverly,Fibbings,7/26/1966
Dick,Stretton,7/6/1962
Felicia,MacDonogh,6/20/1972
Rosina,Peattie,11/15/1994
Zsazsa,Stenton,12/26/1999
Rona,Edlyne,9/9/2000
Bonny,Guidelli,4/21/2001
Vivyan,Haswall,1/27/2002
Brodie,Bragger,5/14/2003
Opaline,Benfield,3/13/2004
Lianne,Crome,1/16/1945
Madalyn,Crehan,11/24/1960
Mariquilla,Wimbridge,10/30/1970
Luce,Brandom,2/8/1980
Hedi,Wayvill,10/24/1990
Terry,Whiles,9/10/1977
Ranice,Ahmed,9/18/1999
Korey,Bastock,8/24/1966
Salim,Guillard,4/18/1998
Cherida,Collomosse,10/27/1971
Ilsa,Ballay,3/1/2000
Chas,Yonge,7/12/2001
Marsiella,Chaters,8/27/1970
Poul,Ringrose,2/26/1971
Gwenora,Billings,9/11/1972
Sashenka,Culshew,6/30/1973
Matti,Fazzioli,11/9/1974
Dario,Florio,4/7/1975
Jemima,Van Driel,12/31/1976
Markos,Remmer,2/16/1977
Lowell,Tromans,10/30/1978
Trudie,Avramov,10/1/1979
Melva,Arangy,3/17/1980
Rolando,Angrove,9/30/1981
Pierrette,Jebb,9/24/1982
Joseph,Iacobucci,6/20/1983
Traci,Mayward,9/18/1988
Leslie,Bissett,10/3/1989
Giles,Lucas,11/8/1990
Luigi,Morland,5/24/1991
Neale,Braham,7/9/1992
Fraser,Beamond,5/22/1993
Veronica,Gracewood,6/20/1994
Maybelle,Apfel,7/14/1995
Janenna,Janczyk,3/29/1996
Jerrylee,Christofe,12/9/1997
Daryle,Kells,8/10/1998
Yehudi,Delmage,2/23/1999
Afton,Haisell,8/5/2000
Melba,McCafferky,7/4/1941
Daphna,Lakes,5/20/1942
Berky,Mantram,11/1/1943
Natale,Jacobovitch,11/5/1944
Gav,Lebrun,11/19/1945
Sauncho,Tolworth,1/1/1946
Clay,Dieton,12/11/1947
Pepe,Dwine,7/5/1948
Holly-anne,Harbach,12/8/1949
Barny,Cluatt,1/22/1950
Carlynn,Silliman,12/13/1951
Oates,Readmire,5/23/1952
Oran,Abreheart,9/2/1953
Myrah,Von Salzberg,7/27/1954
Alvie,Sisley,4/11/1955
Eyde,McMyler,5/1/1956
Victor,Whyteman,11/28/1957
Kirsten,Penvarne,2/11/1958
Pieter,Varvell,5/11/1959
Eirena,Woodcock,5/17/1960
Brendan,Geator,4/18/1961
Isac,Hawkin,3/21/1962
Chiquia,Feckey,5/31/1963
Maury,Barczynski,6/30/1964
Caressa,Lidstone,10/11/1965
Ciel,Stringman,10/9/1966
Sterling,Worpole,9/6/1967
Keen,Groundwator,5/20/1968
Freeman,Melley,7/23/1969
Kenyon,Ferronier,6/19/1970
Melba,Mityushin,11/16/1971
Waring,Lackeye,1/24/1972
Errol,Chevin,5/13/1973
Lukas,O'Fielly,3/5/1974
Bianca,Tinklin,3/4/1975
Nick,Basden,11/29/1976
Earvin,Cattenach,1/21/1977
Kalle,Coxhell,10/10/1978
Ambrosi,Delves,5/4/1979
Sandra,Watters,3/15/1980
Alyse,Kemmett,3/13/1981
Kathi,Zuppa,8/26/1982
